"author","datetime_","datetime_left","nest","bird_incubate","gps_left","wp_left","dist_left_nest","behav_left","activity","n_eggs","n_chicks","state","eggs_collected","captures_id","bird1_cb","dist_bird1_app","bird2_cb","dist_bird2_app","RFID","RFID_ID","MSR","MSR_ID","TT","TT_ID","treatment","recorder","recorder_ID","balance","balance_ID","ARS","ARS_ID","fake_egg","fake_egg_ID","cage","remarks","visits_pk"
"mb","2013-07-01 22:15:00","2013-07-01 23:00:00","w512","y",\N,\N,\N,\N,"ca,f,e,l","4","0","w","0","240",\N,\N,\N,\N,"on","10","on","309048",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"23:08 bird is back on the nest","902"
"mb","2013-07-01 23:35:00","2013-07-01 23:39:00","a505","y",\N,\N,\N,\N,"f,e","4","0","w","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"903"
"mb","2013-07-01 23:56:00","2013-07-01 23:56:00","s617","n",\N,\N,\N,\N,"hc","0","0","p","0",\N,\N,\N,\N,\N,"off","60","off","309059",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RFID box half out of the dugged up place, mser probe out of the nest","904"
"mb","2013-07-02 09:01:00","2013-07-02 09:02:00","s510","n",\N,\N,\N,\N,"hc","4","0","c","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"905"
"mb","2013-07-02 09:03:00","2013-07-02 09:30:00","s505","y",\N,\N,\N,\N,"ch,hc","3","1","1hd,1w,2m","0",\N,"x-gr,gf,lb/m-y,y,y","1","x-gf,gr/m-o,w","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"filming the brooding","906"
"mb","2013-07-02 12:20:00","2013-07-02 12:20:00","s404","y","5","243",\N,"fo","ch,hc","1","3","1w,3hd","0",\N,"x-lb,gf,gr/m-o,y,db","0.5",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"flew through cage","907"
"mb","2013-07-02 14:23:00","2013-07-02 14:43:00","w509","y",\N,\N,\N,\N,"ca","4","0","w","0","243",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"908"
"mb","2013-07-02 15:29:00","2013-07-02 15:33:00","w510","y",\N,\N,"21","fo,a","l","4","0","w","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"on","999",\N,\N,\N,\N,\N,\N,\N,\N,"909"
"mb","2013-07-02 15:36:00","2013-07-02 15:38:00","w510","y",\N,\N,\N,\N,"l","4","0","w","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"download","999",\N,\N,\N,\N,\N,\N,\N,\N,"910"
"mb","2013-07-02 15:42:00","2013-07-02 15:46:00","w510","y",\N,\N,\N,\N,"l","4","0","w","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"off","999",\N,\N,\N,\N,\N,\N,"on","cage: 1m 15:46:10, on 15:46:12 ","911"
"mb","2013-07-02 16:01:00","2013-07-02 16:03:00","s506","y",\N,\N,\N,\N,"hc","4","0","w","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"eggs are pipping","912"
"mb,fh","2013-07-02 11:12:00","2013-07-02 11:42:00","w513","y",\N,\N,\N,\N,"ca,f,e,l","4","0","w","0","241",\N,\N,\N,\N,"on","60","on","309059",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"913"
"fh,mb","2013-07-02 11:00:00","2013-07-02 11:02:00","s604","y",\N,\N,"1","fo","hc","2","0","2m","0",\N,"x-lb,gf,gr/m-o,o,y",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"bird flew through top of the cage","914"
"fh,mb","2013-07-01 19:38:00","2013-07-01 20:20:00","l804","y",\N,\N,"2","ro","ca,l","4","0","w","0","238",\N,\N,\N,\N,"on","8","on","309045",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"915"
"fh,mb","2013-07-01 21:15:00","2013-07-01 21:30:00","w511","y",\N,\N,"2","fo, ro","ca,l","2","0","w","0","239",\N,\N,\N,\N,"on","44","on","309058",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"916"
"fh,mb","2013-07-02 10:42:00","2013-07-02 10:51:00","s509","y",\N,\N,\N,\N,"ch,hc","2","2","2hd, 2w","0",\N,"x-lb,gf,gr/m-r,db,w",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"both parents around","917"
"fh,mb","2013-07-02 11:04:00","2013-07-02 11:05:00","s407","y",\N,\N,\N,\N,"hc","2","0","2w, 2?m","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"918"
"fh,mb","2013-07-02 11:06:00","2013-07-02 11:10:00","s626","y",\N,\N,\N,\N,"l,hc","3","0","2m, 1c","0",\N,\N,\N,\N,\N,"download","25",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"alarming birds around","919"
"lv","2013-07-02 20:46:00","2013-07-02 20:47:00","b402","n",\N,\N,\N,\N,"c","4","0","d","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"920"
"fh,mb","2013-07-02 11:45:00","2013-07-02 12:06:00","s625","y",\N,\N,"6","ro","l,hc","3","0","1m,2w","0",\N,"x-lb,gf,gr/m-db,w,db",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"on","999",\N,\N,\N,\N,\N,\N,\N,"tried to get movie from bird sitting on nest, didn't work. removed camera at 12>05","921"
"fh","2013-07-02 12:18:00","2013-07-02 12:12:00","s516","y",\N,\N,\N,\N,"l,hc","3","0","2b, 1ho","0",\N,\N,\N,\N,\N,"download","32",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"quiet around, chick in egg with hole was pecking from the inside","923"
